Stock,Day,Month,Year,Open,High,Low,Close
AMZN,15,Apr,2020,2257.679932,2333.370117,2245.000000,2307.679932
AMZN,16,Apr,2020,2346.000000,2461.000000,2335.000000,2408.189941
AMZN,17,Apr,2020,2372.330078,2400.000000,2316.020020,2375.000000
AMZN,20,Apr,2020,2389.949951,2444.979980,2386.050049,2393.610107
AMZN,21,Apr,2020,2416.610107,2428.310059,2279.659912,2328.120117
AMZN,22,Apr,2020,2369.000000,2394.000000,2351.000000,2363.489990
AMZN,23,Apr,2020,2399.979980,2424.219971,2382.080078,2399.449951
AMZN,24,Apr,2020,2417.000000,2420.429932,2382.000000,2410.219971
AMZN,27,Apr,2020,2443.199951,2444.879883,2363.000000,2376.000000
AMZN,28,Apr,2020,2372.100098,2373.500000,2306.000000,2314.080078
AMZN,29,Apr,2020,2330.010010,2391.889893,2310.000000,2372.709961
AMZN,30,Apr,2020,2419.840088,2475.000000,2396.010010,2474.000000
—,—,—,—,—,—,—,—
AMZN,01,May,2020,2336.800049,2362.439941,2258.189941,2286.040039
AMZN,04,May,2020,2256.379883,2326.979980,2256.379883,2315.989990
AMZN,05,May,2020,2340.000000,2351.000000,2307.129883,2317.800049
AMZN,06,May,2020,2329.439941,2357.449951,2320.000000,2351.260010
AMZN,07,May,2020,2374.780029,2376.000000,2343.110107,2367.610107
AMZN,08,May,2020,2372.139893,2387.239990,2357.000000,2379.610107
AMZN,11,May,2020,2374.699951,2419.669922,2372.110107,2409.000000
AMZN,12,May,2020,2411.850098,2419.000000,2355.000000,2356.949951
AMZN,13,May,2020,2366.800049,2407.699951,2337.800049,2367.919922
AMZN,14,May,2020,,,,
AMZN,15,May,2020,2368.520020,2411.000000,2356.370117,2409.780029
AMZN,18,May,2020,2404.350098,2433.000000,2384.010010,2426.260010
AMZN,19,May,2020,2429.830078,2485.000000,2428.969971,2449.330078
AMZN,20,May,2020,2477.870117,2500.010010,2467.270020,2497.939941
AMZN,21,May,2020,2500.000000,2525.449951,2442.540039,2446.739990
AMZN,22,May,2020,,,,
AMZN,26,May,2020,2458.000000,2462.000000,2414.060059,2421.860107
AMZN,27,May,2020,2404.989990,2413.580078,2330.000000,2410.389893
AMZN,28,May,2020,2384.330078,2436.969971,2378.229980,2401.100098
AMZN,29,May,2020,2415.939941,2442.370117,2398.199951,2442.370117
—,—,—,—,—,—,—,—
AMZN,01,Jun,2020,2448.000000,2476.929932,2444.169922,2471.040039
AMZN,02,Jun,2020,,,,
AMZN,03,Jun,2020,2468.010010,2488.000000,2461.169922,2478.399902
AMZN,04,Jun,2020,2477.429932,2507.540039,2450.010010,2460.600098
AMZN,05,Jun,2020,2444.510010,2488.649902,2437.129883,2483.000000
AMZN,08,Jun,2020,2500.199951,2530.000000,2487.340088,2524.060059
AMZN,09,Jun,2020,2529.439941,2626.429932,2525.000000,2600.860107
AMZN,10,Jun,2020,2645.000000,2722.350098,2626.260010,2647.449951
AMZN,11,Jun,2020,2603.500000,2671.379883,2536.229980,2557.959961
AMZN,12,Jun,2020,2601.209961,2621.479980,2503.350098,2545.020020
AMZN,15,Jun,2020,2526.600098,2584.000000,2508.000000,2572.679932
AMZN,16,Jun,2020,2620.000000,2620.000000,2576.000000,2615.270020
AMZN,17,Jun,2020,2647.500000,2655.000000,2631.820068,2640.979980
AMZN,18,Jun,2020,2647.010010,2659.639893,2636.110107,2653.979980
AMZN,19,Jun,2020,2678.080078,2697.429932,2659.000000,2675.010010
AMZN,22,Jun,2020,2684.500000,2715.000000,2669.000000,2713.820068
AMZN,23,Jun,2020,2726.020020,2783.110107,2718.040039,2764.409912
AMZN,24,Jun,2020,2780.000000,2796.000000,2721.000000,2734.399902
AMZN,25,Jun,2020,2739.550049,2756.229980,2712.139893,2754.580078
AMZN,26,Jun,2020,2775.060059,2782.570068,2688.000000,2692.870117
AMZN,29,Jun,2020,2690.010010,2696.800049,2630.080078,2680.379883
AMZN,30,Jun,2020,2685.070068,2769.629883,2675.030029,2758.820068
—,—,—,—,—,—,—,—
AMZN,01,Jul,2020,2757.989990,2895.000000,2754.000000,2878.699951
AMZN,02,Jul,2020,2912.010010,2955.560059,2871.100098,2890.300049
AMZN,06,Jul,2020,2934.969971,3059.879883,2930.000000,3057.040039
AMZN,07,Jul,2020,3058.550049,3069.550049,2990.000000,3000.120117
